"Series Description","Market yield on U.S. Treasury securities at 3-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 6-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 1-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 5-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 5-year   constant maturity, quoted on investment basis,   inflation-indexed","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis,   inflation-indexed","3-month Treasury bill secondary market rate   discount basis","6-month Treasury bill secondary market rate   discount basis","1-year Treasury bill secondary market rate^  discount basis"
"Unit:","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year"
"Multiplier:","1","1","1","1","1","1","1","1","1","1"
"Currency:","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unique Identifier: ","H15/H15/RIFLGFCM03_N.B","H15/H15/RIFLGFCM06_N.B","H15/H15/RIFLGFCY01_N.B","H15/H15/RIFLGFCY05_N.B","H15/H15/RIFLGFCY05_XII_N.B","H15/H15/RIFLGFCY10_N.B","H15/H15/RIFLGFCY10_XII_N.B","H15/H15/RIFSGFSM03_N.B","H15/H15/RIFSGFSM06_N.B","H15/H15/RIFSGFSY01_N.B"
"Time Period","RIFLGFCM03_N.B","RIFLGFCM06_N.B","RIFLGFCY01_N.B","RIFLGFCY05_N.B","RIFLGFCY05_XII_N.B","RIFLGFCY10_N.B","RIFLGFCY10_XII_N.B","RIFSGFSM03_N.B","RIFSGFSM06_N.B","RIFSGFSY01_N.B"
"date","m3 yield","m6 yield","y1 yield","y5 yield","y5 inflation indexed","y10 yield","y10 inflation indexed","m3 secondary","m6 secondary","y1 secondary"
1982-01-01,ND,ND,ND,ND,,ND,,ND,ND,ND
1982-01-04,11.87,13.16,13.56,14.15,,14.19,,11.39,12.20,12.15
1982-01-05,12.20,13.41,13.83,14.41,,14.44,,11.72,12.42,12.37
1982-01-06,12.16,13.46,13.91,14.60,,14.59,,11.64,12.44,12.43
1982-01-07,12.17,13.43,13.93,14.66,,14.63,,11.66,12.46,12.45
1982-01-08,11.98,13.35,13.75,14.47,,14.48,,11.52,12.32,12.32
1982-01-11,12.49,13.84,14.31,14.83,,14.81,,11.97,12.81,12.77
1982-01-12,12.52,13.74,14.18,14.70,,14.62,,11.96,12.68,12.66
1982-01-13,12.70,13.97,14.51,14.86,,14.83,,12.14,12.95,12.94
1982-01-14,13.17,13.91,14.41,14.69,,14.70,,12.06,12.84,12.85
1982-01-15,12.74,14.01,14.53,14.86,,14.82,,12.21,12.96,12.96
1982-01-18,13.41,14.09,14.53,14.77,,14.75,,12.25,12.95,12.95
1982-01-19,13.13,14.20,14.59,14.79,,14.80,,12.56,13.07,13.02
1982-01-20,13.51,14.31,14.75,14.90,,14.81,,12.72,13.12,13.15
1982-01-21,13.65,14.42,14.80,14.75,,14.62,,12.77,13.23,13.20
1982-01-22,13.63,14.46,14.94,14.85,,14.69,,13.02,13.30,13.24
1982-01-25,14.06,14.61,14.89,14.80,,14.62,,13.32,13.44,13.20
1982-01-26,13.65,14.24,14.53,14.63,,14.54,,13.02,13.11,12.91
1982-01-27,13.40,14.02,14.39,14.62,,14.51,,12.80,12.96,12.80
1982-01-28,12.84,13.64,13.98,14.33,,14.29,,12.28,12.59,12.47
1982-01-29,13.08,13.76,14.04,14.24,,14.14,,12.52,12.70,12.53
1982-02-01,14.77,15.09,15.08,14.79,,14.58,,13.68,13.87,13.37
1982-02-02,14.49,14.80,14.74,14.61,,14.47,,13.61,13.59,13.10
1982-02-03,14.64,14.99,14.83,14.73,,14.69,,13.77,13.76,13.18
1982-02-04,14.38,14.97,14.83,14.82,,14.76,,13.69,13.74,13.18
1982-02-05,14.63,14.84,14.75,14.72,,14.65,,13.63,13.66,13.13
1982-02-08,15.04,15.20,15.09,14.94,,14.88,,13.96,13.96,13.40
1982-02-09,14.91,15.36,15.19,15.02,,14.95,,14.18,14.07,13.49
1982-02-10,14.88,15.23,15.05,14.89,,14.81,,14.15,13.96,13.38
1982-02-11,15.06,15.28,15.12,14.80,,14.71,,14.19,14.03,13.45
1982-02-12,ND,ND,ND,ND,,ND,,ND,ND,ND
1982-02-15,ND,ND,ND,ND,,ND,,ND,ND,ND
1982-02-16,15.49,15.67,15.23,14.68,,14.53,,14.57,14.36,13.55
1982-02-17,15.31,15.63,15.22,14.73,,14.50,,14.47,14.30,13.54
1982-02-18,14.58,14.95,14.79,14.45,,14.28,,13.70,13.73,13.20
1982-02-19,14.17,14.96,14.87,14.44,,14.24,,13.49,13.75,13.18
1982-02-22,13.13,14.02,14.10,13.97,,13.87,,12.55,12.97,12.57
1982-02-23,12.93,13.84,14.04,14.03,,13.93,,12.35,12.79,12.51
1982-02-24,12.83,13.74,13.94,13.98,,13.87,,12.00,12.70,12.44
1982-02-25,12.79,13.83,14.07,14.01,,13.91,,12.23,12.74,12.54
1982-02-26,13.00,14.11,14.27,14.12,,14.03,,12.44,13.01,12.72
1982-03-01,12.81,13.85,13.93,13.97,,13.85,,12.27,12.80,12.45
1982-03-02,13.22,13.78,13.88,13.87,,13.74,,12.37,12.71,12.40
1982-03-03,12.85,13.67,13.75,13.77,,13.69,,12.28,12.62,12.30
1982-03-04,12.85,13.37,13.49,13.61,,13.61,,12.18,12.37,12.09
1982-03-05,12.86,13.36,13.49,13.57,,13.59,,12.19,12.38,12.09
1982-03-08,12.68,13.18,13.36,13.57,,13.67,,12.12,12.20,11.99
1982-03-09,12.93,13.38,13.57,13.72,,13.69,,12.36,12.40,12.16
1982-03-10,13.00,13.50,13.64,13.75,,13.73,,12.41,12.48,12.22
1982-03-11,13.24,13.86,13.99,14.03,,13.95,,12.64,12.81,12.52
1982-03-12,13.40,13.95,14.08,14.04,,13.97,,12.81,12.88,12.59
1982-03-15,13.47,14.01,14.17,14.11,,13.96,,12.89,12.95,12.66
