"Series Description","Market yield on U.S. Treasury securities at 3-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 6-month   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 1-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis","3-month Treasury bill secondary market rate   discount basis","6-month Treasury bill secondary market rate   discount basis","1-year Treasury bill secondary market rate^  discount basis"
"Unit:","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year"
"Multiplier:","1","1","1","1","1","1","1"
"Currency:","NA","NA","NA","NA","NA","NA","NA"
"Unique Identifier: ","H15/H15/RIFLGFCM03_N.WF","H15/H15/RIFLGFCM06_N.WF","H15/H15/RIFLGFCY01_N.WF","H15/H15/RIFLGFCY10_N.WF","H15/H15/RIFSGFSM03_N.WF","H15/H15/RIFSGFSM06_N.WF","H15/H15/RIFSGFSY01_N.WF"
"Time Period","RIFLGFCM03_N.WF","RIFLGFCM06_N.WF","RIFLGFCY01_N.WF","RIFLGFCY10_N.WF","RIFSGFSM03_N.WF","RIFSGFSM06_N.WF","RIFSGFSY01_N.WF"
"Date","m3yeild","m6yeild",
1982-01-01,11.84,13.26,13.68,14.07,11.35,12.25,12.23
1982-01-08,12.08,13.36,13.80,14.47,11.59,12.37,12.34
1982-01-15,12.72,13.89,14.39,14.76,12.07,12.85,12.84
1982-01-22,13.47,14.30,14.72,14.73,12.66,13.13,13.11
1982-01-29,13.41,14.05,14.37,14.42,12.79,12.96,12.78
1982-02-05,14.58,14.94,14.85,14.63,13.68,13.72,13.19
1982-02-12,14.97,15.27,15.11,14.84,14.12,14.01,13.43
1982-02-19,14.89,15.30,15.03,14.39,14.06,14.04,13.37
1982-02-26,12.94,13.91,14.08,13.92,12.31,12.84,12.56
1982-03-05,12.92,13.61,13.71,13.70,12.26,12.58,12.27
1982-03-12,13.05,13.57,13.73,13.80,12.47,12.55,12.30
1982-03-19,13.46,13.95,14.08,13.90,12.85,12.89,12.58
1982-03-26,13.36,13.84,14.01,13.86,12.72,12.78,12.50
1982-04-02,14.02,14.30,14.32,14.15,13.32,13.17,12.76
1982-04-09,13.77,14.16,14.20,14.13,13.10,13.06,12.69
1982-04-16,13.38,14.00,14.07,13.85,12.77,12.92,12.59
1982-04-23,12.96,13.64,13.86,13.69,12.39,12.61,12.38
1982-04-30,13.13,13.60,13.75,13.78,12.42,12.57,12.30
1982-05-07,13.31,13.63,13.71,13.73,12.54,12.59,12.29
1982-05-14,13.05,13.37,13.49,13.53,12.38,12.37,12.11
1982-05-21,12.47,12.91,13.18,13.57,11.90,11.97,11.83
1982-05-28,12.03,12.62,13.00,13.66,11.54,11.72,11.71
1982-06-04,12.66,13.08,13.46,13.92,12.09,12.12,12.09
1982-06-11,12.64,13.18,13.59,13.97,12.06,12.19,12.20
1982-06-18,13.06,13.91,14.22,14.36,12.46,12.83,12.68
1982-06-25,13.52,14.40,14.62,14.70,12.88,13.25,13.00
1982-07-02,13.49,14.20,14.41,14.54,12.81,13.08,12.86
1982-07-09,12.82,13.61,13.98,14.30,12.23,12.57,12.50
1982-07-16,12.21,13.02,13.46,13.93,11.71,12.06,12.06
1982-07-23,11.08,12.03,12.50,13.58,10.64,11.21,11.29
1982-07-30,10.99,12.18,12.73,13.85,10.51,11.39,11.50
1982-08-06,10.18,11.59,12.32,13.63,9.80,10.78,11.13
1982-08-13,10.08,11.38,12.23,13.57,9.70,10.70,11.06
1982-08-20,8.15,9.64,10.63,12.60,7.88,9.17,9.71
1982-08-27,7.75,9.54,10.63,12.51,7.50,8.99,9.68
1982-09-03,8.60,10.20,11.12,12.69,8.31,9.59,10.12
1982-09-10,8.63,10.19,11.05,12.58,8.34,9.63,10.09
1982-09-17,8.31,10.12,11.10,12.58,8.03,9.57,10.12
1982-09-24,7.77,9.65,10.67,12.14,7.53,9.21,9.77
1982-10-01,7.77,8.95,10.34,11.78,7.52,8.85,9.51
1982-10-08,8.20,9.28,10.05,11.33,7.93,8.86,9.24
1982-10-15,7.72,8.17,8.82,10.57,7.48,7.82,8.19
1982-10-22,7.78,8.24,8.89,10.67,7.54,7.93,8.28
1982-10-29,8.20,8.77,9.26,10.87,7.93,8.39,8.58
1982-11-05,8.04,8.65,9.03,10.48,7.78,8.24,8.36
1982-11-12,8.35,8.86,9.19,10.53,8.07,8.39,8.47
1982-11-19,8.62,8.90,9.23,10.56,8.31,8.41,8.49
1982-11-26,8.22,8.65,9.07,10.52,7.94,8.18,8.35
1982-12-03,8.41,8.95,9.26,10.69,8.14,8.47,8.53
1982-12-10,8.22,8.76,9.06,10.56,7.96,8.30,8.36
1982-12-17,8.06,8.46,8.83,10.56,7.80,8.04,8.15
1982-12-24,8.17,8.46,8.80,10.56,7.91,8.04,8.14
1982-12-31,8.28,8.50,8.75,10.43,8.01,8.07,8.11
1983-01-07,8.18,8.36,8.62,10.36,7.92,7.95,8.02
1983-01-14,7.91,8.11,8.41,10.32,7.66,7.73,7.82
1983-01-21,8.00,8.25,8.56,10.41,7.75,7.85,7.96
1983-01-28,8.32,8.54,8.83,10.68,8.05,8.13,8.19
1983-02-04,8.44,8.72,8.98,10.88,8.16,8.29,8.34
1983-02-11,8.50,8.77,9.06,10.92,8.22,8.34,8.41
1983-02-18,8.45,8.72,8.98,10.75,8.16,8.28,8.33
1983-02-25,8.17,8.42,8.67,10.40,7.91,8.00,8.06
1983-03-04,8.26,8.42,8.59,10.25,7.97,7.97,7.98
1983-03-11,8.55,8.73,8.93,10.51,8.25,8.25,8.27
1983-03-18,8.61,8.84,9.05,10.52,8.31,8.35,8.37
1983-03-25,8.87,9.09,9.28,10.60,8.55,8.57,8.55
1983-04-01,8.98,9.20,9.34,10.62,8.64,8.67,8.60
1983-04-08,8.76,9.01,9.17,10.52,8.45,8.51,8.46
1983-04-15,8.45,8.72,8.94,10.37,8.16,8.25,8.26
1983-04-22,8.42,8.76,8.98,10.38,8.12,8.27,8.29
1983-04-29,8.42,8.63,8.83,10.33,8.11,8.16,8.16
1983-05-06,8.31,8.47,8.64,10.19,8.03,8.02,8.00
1983-05-13,8.33,8.51,8.70,10.21,8.03,8.05,8.04
1983-05-20,8.45,8.69,8.93,10.45,8.14,8.21,8.24
1983-05-27,8.80,9.01,9.23,10.59,8.48,8.50,8.51
1983-06-03,8.90,9.21,9.43,10.79,8.57,8.68,8.68
1983-06-10,9.10,9.44,9.64,10.87,8.76,8.88,8.85
1983-06-17,9.03,9.35,9.54,10.71,8.70,8.80,8.77
1983-06-24,9.34,9.60,9.82,10.87,8.97,9.02,9.02
1983-07-01,9.22,9.54,9.78,11.01,8.88,8.97,8.98
1983-07-08,9.43,9.85,10.12,11.25,9.07,9.24,9.27
1983-07-15,9.49,9.91,10.27,11.40,9.10,9.30,9.39
1983-07-22,9.46,9.82,10.18,11.36,9.10,9.24,9.33
1983-07-29,9.49,9.91,10.31,11.57,9.13,9.33,9.44
1983-08-05,9.80,10.23,10.63,11.95,9.41,9.58,9.71
1983-08-12,9.94,10.34,10.77,12.10,9.52,9.67,9.80
1983-08-19,9.75,10.10,10.43,11.71,9.35,9.45,9.50
1983-08-26,9.52,9.94,10.27,11.58,9.15,9.32,9.37
1983-09-02,9.63,10.14,10.57,11.94,9.26,9.52,9.64
1983-09-09,9.53,9.98,10.38,11.76,9.13,9.35,9.47
1983-09-16,9.44,9.80,10.21,11.69,9.08,9.21,9.33
1983-09-23,9.31,9.60,10.01,11.59,8.94,9.02,9.15
1983-09-30,9.11,9.46,9.89,11.46,8.75,8.89,9.04
1983-10-07,9.01,9.40,9.77,11.38,8.62,8.81,8.93
1983-10-14,9.15,9.52,9.92,11.60,8.79,8.97,9.10
1983-10-21,8.86,9.25,9.69,11.47,8.53,8.72,8.89
1983-10-28,9.00,9.43,9.86,11.68,8.66,8.88,9.02
1983-11-04,8.91,9.34,9.92,11.75,8.58,8.79,9.05
1983-11-11,9.12,9.49,9.95,11.80,8.77,8.93,9.09
1983-11-18,9.16,9.52,9.92,11.70,8.81,8.97,9.08
1983-11-25,9.13,9.48,9.90,11.59,8.79,8.94,9.06
1983-12-02,9.25,9.62,10.01,11.64,8.88,9.05,9.15
1983-12-09,9.32,9.74,10.10,11.82,8.97,9.16,9.23
1983-12-16,9.45,9.83,10.15,11.93,9.09,9.24,9.28
1983-12-23,9.36,9.78,10.13,11.82,9.00,9.19,9.25
1983-12-30,9.33,9.73,10.09,11.79,8.96,9.14,9.22
1984-01-06,9.30,9.69,10.02,11.79,8.95,9.12,9.19
1984-01-13,9.24,9.57,9.91,11.71,8.88,9.03,9.09
1984-01-20,9.24,9.51,9.86,11.59,8.88,8.95,9.02
1984-01-27,9.29,9.53,9.87,11.63,8.93,9.00,9.04
1984-02-03,9.27,9.53,9.81,11.63,8.91,8.97,9.00
1984-02-10,9.45,9.70,9.94,11.74,9.06,9.10,9.10
1984-02-17,9.46,9.80,10.05,11.85,9.09,9.21,9.21
1984-02-24,9.55,9.91,10.21,11.97,9.18,9.32,9.35
1984-03-02,9.53,9.90,10.24,12.05,9.18,9.33,9.37
1984-03-09,9.65,10.02,10.33,12.18,9.29,9.43,9.45
1984-03-16,9.80,10.21,10.53,12.29,9.43,9.59,9.60
1984-03-23,10.15,10.53,10.85,12.46,9.76,9.88,9.90
1984-03-30,10.11,10.49,10.79,12.46,9.72,9.85,9.86
1984-04-06,10.13,10.55,10.91,12.61,9.74,9.91,9.96
1984-04-13,10.02,10.42,10.76,12.49,9.65,9.79,9.82
1984-04-20,10.14,10.48,10.94,12.66,9.76,9.86,9.98
1984-04-27,10.01,10.41,10.98,12.74,9.64,9.79,10.00
1984-05-04,10.11,10.63,11.19,12.89,9.73,9.99,10.18
1984-05-11,10.37,11.00,11.52,13.23,9.97,10.28,10.46
1984-05-18,10.28,10.99,11.68,13.49,9.88,10.28,10.59
1984-05-25,10.18,11.15,11.84,13.59,9.79,10.42,10.73
1984-06-01,10.14,11.31,12.10,13.86,9.76,10.56,10.94
1984-06-08,10.20,11.20,11.92,13.47,9.81,10.49,10.80
1984-06-15,10.35,11.23,12.02,13.43,9.95,10.50,10.87
1984-06-22,10.31,11.31,12.15,13.55,9.91,10.56,10.97
1984-06-29,10.20,11.23,12.28,13.79,9.81,10.48,11.09
1984-07-06,10.32,11.16,12.17,13.80,9.92,10.43,11.01
1984-07-13,10.45,11.24,12.10,13.46,10.04,10.50,10.94
1984-07-20,10.53,11.30,12.03,13.32,10.11,10.55,10.89
1984-07-27,10.67,11.32,11.90,13.11,10.25,10.56,10.79
1984-08-03,10.85,11.39,11.84,12.82,10.42,10.63,10.73
1984-08-10,10.91,11.35,11.80,12.67,10.48,10.59,10.69
1984-08-17,10.73,11.27,11.73,12.71,10.31,10.52,10.64
1984-08-24,10.87,11.33,11.80,12.66,10.44,10.57,10.68
