DATE,IR3TIB01EZM156N
1994/1/1,6.91
1994/2/1,6.86
1994/3/1,6.75
1994/4/1,6.57
1994/5/1,6.24
1994/6/1,6.3
1994/7/1,6.34
1994/8/1,6.43
1994/9/1,6.38
1994/10/1,6.43
1994/11/1,6.4
1994/12/1,6.69
1995/1/1,6.66
1995/2/1,6.59
1995/3/1,7.58
1995/4/1,7.29
1995/5/1,7.04
1995/6/1,7.08
1995/7/1,6.92
1995/8/1,6.66
1995/9/1,6.5
1995/10/1,6.75
1995/11/1,6.45
1995/12/1,6.32
1996/1/1,5.81
1996/2/1,5.58
1996/3/1,5.5
1996/4/1,5.27
1996/5/1,5.06
1996/6/1,5.08
1996/7/1,5.06
1996/8/1,5.08
1996/9/1,4.86
1996/10/1,4.69
1996/11/1,4.57
1996/12/1,4.5
1997/1/1,4.39
1997/2/1,4.43
1997/3/1,4.5
1997/4/1,4.39
1997/5/1,4.3
1997/6/1,4.29
1997/7/1,4.3
1997/8/1,4.36
1997/9/1,4.31
1997/10/1,4.44
1997/11/1,4.49
1997/12/1,4.37
1998/1/1,4.26
1998/2/1,4.24
1998/3/1,4.11
1998/4/1,4.09
1998/5/1,4.06
1998/6/1,4.02
1998/7/1,3.95
1998/8/1,3.93
1998/9/1,3.93
1998/10/1,3.81
1998/11/1,3.69
1998/12/1,3.37
1999/1/1,3.1321
1999/2/1,3.0934
1999/3/1,3.0467
1999/4/1,2.6965
1999/5/1,2.579
1999/6/1,2.6267
1999/7/1,2.6765
1999/8/1,2.695
1999/9/1,2.7267
1999/10/1,3.3757
1999/11/1,3.4677
1999/12/1,3.446
2000/1/1,3.3431
2000/2/1,3.5368
2000/3/1,3.747
2000/4/1,3.9253
2000/5/1,4.362
2000/6/1,4.5017
2000/7/1,4.5829
2000/8/1,4.7771
2000/9/1,4.8528
2000/10/1,5.0413
2000/11/1,5.092
2000/12/1,4.9392
2001/1/1,4.7707
2001/2/1,4.7558
2001/3/1,4.7086
2001/4/1,4.682
2001/5/1,4.6367
2001/6/1,4.4536
2001/7/1,4.4671
2001/8/1,4.3535
2001/9/1,3.9829
2001/10/1,3.5999
2001/11/1,3.3857
2001/12/1,3.3449
2002/1/1,3.3388
2002/2/1,3.3571
2002/3/1,3.3908
2002/4/1,3.4069
2002/5/1,3.4671
2002/6/1,3.464
2002/7/1,3.41
2002/8/1,3.3519
2002/9/1,3.3101
2002/10/1,3.2613
2002/11/1,3.1241
