Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?type=series&q=MIR.M.U2.B.A2C.AM.R.A.2250.EUR.N%2cMIR.M.U2.B.A2C.F.R.A.2250.EUR.N%2cMIR.M.U2.B.A2C.P.R.A.2250.EUR.N%2cMIR.M.U2.B.A2B.A.R.A.2250.EUR.N%2cMIR.M.U2.B.A2C.I.R.A.2250.EUR.N%2cMIR.M.U2.B.A2C.O.R.A.2250.EUR.N%2cMIR.M.U2.B.L22.F.R.A.2250.EUR.N%2cMIR.M.U2.B.L23.D.R.A.2250.EUR.N%2cMIR.M.U2.B.L22.A.R.A.2250.EUR.N%2cMIR.M.U2.B.L21.A.R.A.2250.EUR.N&node=SEARCHRESULTS&ec=&oc=&rc=&cv=&pb=&dc=&df=
,MIR.M.U2.B.A2B.A.R.A.2250.EUR.N,MIR.M.U2.B.A2C.AM.R.A.2250.EUR.N,MIR.M.U2.B.A2C.F.R.A.2250.EUR.N,MIR.M.U2.B.A2C.I.R.A.2250.EUR.N,MIR.M.U2.B.A2C.O.R.A.2250.EUR.N,MIR.M.U2.B.A2C.P.R.A.2250.EUR.N,MIR.M.U2.B.L21.A.R.A.2250.EUR.N,MIR.M.U2.B.L22.A.R.A.2250.EUR.N,MIR.M.U2.B.L22.F.R.A.2250.EUR.N,MIR.M.U2.B.L23.D.R.A.2250.EUR.N
,"Loans for consumption excluding revolving loans and overdrafts, convenience and extended credit card debt, Total","Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes)","Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year","Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 1 and up to 5 years","Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 5 and up to 10 years","Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Over 10 years","Overnight deposits, Total","Deposits with agreed maturity, Total","Deposits with agreed maturity, Up to 1 year","Deposits redeemable at notice, Up to 3 months"
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ]
2021Jan,5.26,1.33,1.35,1.50,1.29,1.35,0.01,0.26,0.19,0.35
2020Dec,5.06,1.32,1.35,1.52,1.27,1.33,0.01,0.22,0.16,0.35
2020Nov,5.22,1.35,1.37,1.54,1.29,1.35,0.02,0.25,0.19,0.35
2020Oct,5.25,1.36,1.37,1.56,1.27,1.36,0.02,0.25,0.19,0.35
2020Sep,5.23,1.38,1.39,1.61,1.31,1.37,0.02,0.23,0.18,0.35
2020Aug,5.34,1.40,1.42,1.61,1.31,1.40,0.02,0.24,0.18,0.35
2020Jul,5.20,1.40,1.43,1.59,1.34,1.38,0.02,0.27,0.20,0.35
2020Jun,5.05,1.42,1.44,1.64,1.38,1.39,0.02,0.28,0.21,0.35
2020May,5.10,1.42,1.47,1.58,1.40,1.41,0.02,0.27,0.21,0.36
2020Apr,5.14,1.43,1.30,1.54,1.35,1.43,0.02,0.27,0.22,0.36
2020Mar,5.45,1.39,1.39,1.54,1.35,1.35,0.02,0.34,0.32,0.36
2020Feb,5.56,1.41,1.43,1.54,1.38,1.36,0.02,0.37,0.34,0.36
2020Jan,5.67,1.43,1.46,1.52,1.43,1.40,0.02,0.32,0.27,0.42
2019Dec,5.29,1.41,1.46,1.58,1.43,1.39,0.03,0.28,0.21,0.42
2019Nov,5.51,1.47,1.43,1.59,1.61,1.48,0.03,0.29,0.22,0.42
2019Oct,5.58,1.44,1.45,1.59,1.44,1.39,0.03,0.31,0.23,0.42
2019Sep,5.62,1.48,1.46,1.65,1.49,1.44,0.03,0.32,0.26,0.43
