Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?type=series&q=MIR.M.U2.B.A2I.AM.R.A.2240.EUR.N+MIR.M.U2.B.A2A.D.R.1.2240.EUR.N+MIR.M.U2.B.A2A.Q.R.1.2240.EUR.N+MIR.M.U2.B.A2A.P.R.1.2240.EUR.N++MIR.M.U2.B.A2A.D.R.2.2240.EUR.N++MIR.M.U2.B.L22.F.R.A.2240.EUR.N++MIR.M.U2.B.A2D.F.R.A.2253.EUR.N+MIR.M.U2.B.L22.A.R.A.2240.EUR.N+MIR.M.U2.B.L21.A.R.A.2240.EUR.N+&node=SEARCHRESULTS&ec=&oc=&rc=&cv=&pb=&dc=&df=
,MIR.M.U2.B.A2A.D.R.1.2240.EUR.N,MIR.M.U2.B.A2A.D.R.2.2240.EUR.N,MIR.M.U2.B.A2A.P.R.1.2240.EUR.N,MIR.M.U2.B.A2A.Q.R.1.2240.EUR.N,MIR.M.U2.B.A2D.F.R.A.2253.EUR.N,MIR.M.U2.B.A2I.AM.R.A.2240.EUR.N,MIR.M.U2.B.L21.A.R.A.2240.EUR.N,MIR.M.U2.B.L22.A.R.A.2240.EUR.N,MIR.M.U2.B.L22.F.R.A.2240.EUR.N
,"Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 3 months, Over EUR 1 million, Non-Financial corporations (S.11)","Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Up to 3 months, Up to and including EUR 0.25 million, Non-Financial corporations (S.11)","Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Over 10 years, Over EUR 1 million, Non-Financial corporations (S.11)","Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Over 3 months and up to 1 year, Over EUR 1 million, Non-Financial corporations (S.11)","Other lending excluding revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year, Total, Households of which sole proprietors and unincorporated partnerships (SP/UP)","Loans (defined for cost of borrowing purposes, sum of A2A and A2Z (both related to non-financial corporations)), Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), Total, Non-Financial corporations (S.11)","Overnight deposits, Total, Total, Non-Financial corporations (S.11)","Deposits with agreed maturity, Total, Total, Non-Financial corporations (S.11)","Deposits with agreed maturity, Up to 1 year, Total, Non-Financial corporations (S.11)"
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ]
2021Jan,1.18,2.16,1.21,1.19,2.01,1.51,-0.01,-0.13,-0.15
2020Dec,1.34,2.04,1.17,1.23,2.05,1.51,-0.01,-0.17,-0.20
2020Nov,1.22,2.00,1.20,1.29,2.20,1.51,-0.01,-0.18,-0.21
2020Oct,1.22,1.95,1.27,1.42,2.25,1.53,0.00,-0.20,-0.22
2020Sep,1.22,1.95,1.13,1.32,2.09,1.52,0.00,-0.18,-0.20
2020Aug,1.29,1.88,1.19,1.31,2.06,1.51,0.00,-0.19,-0.20
2020Jul,1.24,1.98,1.25,1.17,2.28,1.52,0.00,-0.17,-0.19
2020Jun,1.23,1.89,1.39,1.17,2.06,1.49,0.00,-0.10,-0.14
2020May,1.23,1.87,1.44,1.07,2.17,1.46,0.00,-0.10,-0.13
2020Apr,1.22,2.00,1.27,1.12,2.18,1.47,0.00,-0.05,-0.08
2020Mar,1.14,1.90,1.25,1.10,2.14,1.46,0.00,-0.07,-0.09
2020Feb,1.11,1.99,1.27,1.21,2.32,1.52,0.00,-0.09,-0.13
2020Jan,1.11,2.18,1.47,1.25,2.46,1.55,0.01,-0.04,-0.08
2019Dec,1.26,2.01,1.39,1.21,2.18,1.56,0.01,0.03,-0.01
2019Nov,1.14,2.02,1.29,1.34,2.34,1.55,0.02,-0.02,-0.05
2019Oct,1.14,2.01,1.33,1.40,2.38,1.56,0.02,0.00,-0.04
2019Sep,1.10,2.03,1.23,1.26,2.27,1.54,0.03,-0.01,-0.07
2019Aug,1.06,2.07,1.35,1.32,2.33,1.52,0.03,-0.02,-0.05
2019Jul,1.16,2.07,1.48,1.32,2.48,1.56,0.03,0.07,0.03
2019Jun,1.09,2.13,1.58,1.28,2.38,1.55,0.03,0.05,0.01
2019May,1.09,2.18,1.56,1.17,2.34,1.57,0.03,0.06,0.02
2019Apr,1.16,2.19,1.87,1.33,2.42,1.62,0.03,0.08,0.05
2019Mar,1.19,2.17,1.76,1.36,2.40,1.64,0.03,0.09,0.06
2019Feb,1.13,2.15,1.79,1.39,2.40,1.64,0.03,0.05,0.02
2019Jan,1.13,2.15,1.81,1.30,2.43,1.63,0.03,0.07,0.04
2018Dec,1.21,2.20,1.81,1.39,2.25,1.63,0.03,0.10,0.06
2018Nov,1.20,2.19,1.80,1.35,2.35,1.66,0.03,0.09,0.04
2018Oct,1.23,2.13,1.73,1.10,2.45,1.64,0.03,0.09,0.05
2018Sep,1.13,2.21,1.87,1.40,2.25,1.65,0.03,0.10,0.07
2018Aug,1.10,2.19,1.74,1.27,2.41,1.63,0.03,0.11,0.08
2018Jul,1.14,2.15,1.90,1.30,2.42,1.63,0.03,0.10,0.07
2018Jun,1.21,2.26,1.87,1.33,2.16,1.68,0.04,0.11,0.06
2018May,1.08,2.30,1.91,1.22,2.34,1.62,0.03,0.10,0.08
2018Apr,1.23,2.35,1.82,1.29,2.29,1.70,0.03,0.08,0.06
2018Mar,1.25,2.40,1.91,1.39,2.19,1.73,0.04,0.10,0.08
2018Feb,1.17,2.36,1.84,1.35,2.35,1.70,0.04,0.11,0.08
2018Jan,1.10,2.38,1.79,1.17,2.27,1.64,0.04,0.07,0.05
2017Dec,1.34,2.40,1.74,1.27,2.30,1.71,0.04,0.08,0.06
2017Nov,1.23,2.43,1.82,1.33,2.35,1.72,0.04,0.10,0.08
2017Oct,1.23,2.39,1.85,1.35,2.37,1.73,0.04,0.13,0.11
2017Sep,1.18,2.44,1.82,1.47,2.33,1.73,0.04,0.09,0.06
2017Aug,1.24,2.49,1.82,1.44,2.39,1.75,0.04,0.11,0.10
2017Jul,1.23,2.45,1.89,1.34,2.32,1.74,0.04,0.12,0.10
2017Jun,1.27,2.46,1.93,1.41,2.44,1.76,0.04,0.07,0.05
2017May,1.20,2.49,1.81,1.47,2.47,1.76,0.05,0.12,0.09
2017Apr,1.34,2.54,1.93,1.51,2.36,1.81,0.05,0.12,0.09
2017Mar,1.31,2.52,1.77,1.63,2.42,1.82,0.05,0.10,0.06
2017Feb,1.18,2.57,1.77,1.32,2.44,1.76,0.05,0.12,0.09
2017Jan,1.22,2.67,1.87,1.38,2.33,1.79,0.06,0.14,0.12
2016Dec,1.34,2.58,1.75,1.46,2.45,1.81,0.06,0.14,0.11
2016Nov,1.29,2.59,1.67,1.43,2.55,1.82,0.07,0.14,0.12
2016Oct,1.28,2.63,1.70,1.40,2.51,1.83,0.08,0.16,0.15
2016Sep,1.28,2.65,1.70,1.62,2.43,1.86,0.09,0.14,0.12
2016Aug,1.22,2.68,1.60,1.48,2.50,1.83,0.09,0.16,0.15
2016Jul,1.28,2.72,1.86,1.56,2.42,1.87,0.10,0.18,0.16
2016Jun,1.34,2.66,1.76,1.60,2.54,1.89,0.11,0.18,0.14
2016May,1.27,2.91,1.95,1.66,2.59,1.92,0.11,0.15,0.12
2016Apr,1.38,2.98,2.03,1.59,2.59,2.00,0.12,0.21,0.18
2016Mar,1.38,3.03,1.94,1.75,2.59,2.04,0.14,0.19,0.15
2016Feb,1.38,3.16,2.02,1.48,2.70,2.02,0.13,0.27,0.23
2016Jan,1.43,3.23,2.17,1.67,2.62,2.10,0.13,0.30,0.26
2015Dec,1.52,3.07,2.10,1.77,2.54,2.09,0.15,0.26,0.21
2015Nov,1.47,3.14,2.21,1.63,2.68,2.13,0.16,0.25,0.21
2015Oct,1.48,3.19,2.21,1.69,2.60,2.16,0.17,0.29,0.25
2015Sep,1.55,3.23,2.38,1.89,2.62,2.22,0.17,0.28,0.25
2015Aug,1.44,3.25,2.17,1.54,2.61,2.15,0.18,0.25,0.22
2015Jul,1.53,3.28,2.26,1.73,2.56,2.18,0.18,0.35,0.31
2015Jun,1.61,3.19,2.11,1.91,2.63,2.24,0.19,0.34,0.28
2015May,1.58,3.37,1.98,1.85,2.73,2.26,0.19,0.32,0.29
2015Apr,1.65,3.46,2.11,1.94,2.66,2.34,0.19,0.32,0.29
2015Mar,1.65,3.46,1.96,2.12,2.70,2.36,0.22,0.35,0.30
2015Feb,1.56,3.60,2.15,1.98,2.80,2.37,0.22,0.38,0.33
2015Jan,1.67,3.78,2.09,2.03,2.71,2.45,0.23,0.47,0.43
2014Dec,1.72,3.68,2.34,2.17,2.69,2.44,0.24,0.46,0.42
2014Nov,1.74,3.80,2.19,2.15,2.93,2.50,0.24,0.46,0.42
2014Oct,1.75,3.98,2.67,2.25,2.81,2.59,0.24,0.52,0.48
2014Sep,1.83,3.99,2.55,2.38,2.89,2.67,0.26,0.53,0.49
2014Aug,1.80,4.17,2.66,2.42,3.05,2.70,0.28,0.52,0.48
2014Jul,1.93,4.31,2.91,2.42,3.00,2.78,0.28,0.61,0.57
2014Jun,1.97,4.28,2.92,2.73,3.21,2.82,0.31,0.63,0.58
2014May,2.10,4.49,3.07,2.40,3.30,2.93,0.34,0.65,0.62
2014Apr,2.21,4.56,3.20,2.55,3.10,2.99,0.34,0.74,0.70
2014Mar,2.19,4.57,3.23,2.73,3.27,3.01,0.35,0.70,0.66
2014Feb,2.10,4.50,3.11,2.78,3.25,2.98,0.33,0.70,0.64
2014Jan,2.15,4.58,3.16,2.73,3.22,2.99,0.33,0.77,0.70
2013Dec,2.17,4.51,3.14,2.72,3.14,2.95,0.34,0.84,0.79
2013Nov,2.23,4.53,3.11,2.62,3.29,2.99,0.34,0.82,0.75
2013Oct,2.19,4.57,3.38,2.61,3.11,3.02,0.34,0.87,0.78
2013Sep,2.08,4.50,3.28,2.53,3.15,2.94,0.35,0.87,0.80
2013Aug,2.03,4.47,3.09,2.57,3.05,2.93,0.37,0.75,0.70
2013Jul,2.12,4.62,3.17,2.69,3.24,2.99,0.37,0.90,0.82
2013Jun,2.05,4.52,3.10,2.60,3.16,2.92,0.38,0.89,0.83
2013May,2.08,4.73,2.88,2.71,3.31,2.99,0.39,0.98,0.90
2013Apr,2.13,4.75,2.95,2.69,3.28,3.02,0.39,1.02,0.96
2013Mar,2.01,4.53,2.86,2.90,3.21,2.98,0.40,1.02,0.96
2013Feb,2.02,4.68,3.16,2.84,3.19,2.98,0.40,1.12,1.05
2013Jan,2.08,4.65,3.04,2.85,3.18,3.02,0.40,1.16,1.10
2012Dec,2.16,4.60,3.02,2.78,3.25,3.02,0.42,1.12,1.07
2012Nov,2.10,4.63,2.94,2.71,3.32,3.01,0.44,1.09,1.04
2012Oct,2.11,4.72,3.23,2.86,3.27,3.04,0.46,1.12,1.05
2012Sep,2.14,4.68,3.06,2.56,3.34,3.02,0.47,1.17,1.11
2012Aug,2.04,4.84,3.02,2.96,3.47,3.04,0.47,1.14,1.09
2012Jul,2.23,4.85,3.49,3.29,3.72,3.17,0.49,1.21,1.14
2012Jun,2.43,4.80,3.22,3.19,3.72,3.28,0.53,1.16,1.11
2012May,2.36,4.81,3.51,3.75,3.82,3.33,0.55,1.12,1.07
2012Apr,2.38,4.95,3.59,3.46,3.65,3.34,0.56,1.22,1.15
2012Mar,2.39,4.80,3.60,3.42,3.83,3.36,0.59,1.37,1.31
2012Feb,2.50,4.86,3.65,3.75,3.94,3.47,0.61,1.35,1.26
2012Jan,2.65,4.93,3.79,3.64,3.93,3.54,0.62,1.42,1.36
2011Dec,3.03,4.89,3.76,3.74,4.23,3.72,0.66,1.58,1.53
2011Nov,2.79,4.77,3.70,3.66,4.26,3.63,0.67,1.57,1.53
2011Oct,2.96,4.69,3.72,3.52,4.00,3.70,0.70,1.75,1.72
2011Sep,2.83,4.58,3.78,3.44,4.01,3.61,0.70,1.77,1.75
2011Aug,2.79,4.44,4.10,3.55,4.00,3.60,0.69,1.70,1.67
2011Jul,2.86,4.37,3.27,3.41,3.84,3.59,0.67,1.81,1.78
2011Jun,2.78,4.23,4.00,3.48,3.85,3.53,0.68,1.82,1.78
2011May,2.64,4.18,4.13,3.37,3.81,3.44,0.64,1.71,1.65
2011Apr,2.71,4.06,4.15,3.29,3.59,3.45,0.62,1.63,1.58
2011Mar,2.52,4.01,3.89,3.26,3.49,3.29,0.55,1.43,1.37
2011Feb,2.54,3.97,3.78,3.07,3.44,3.26,0.53,1.37,1.32
2011Jan,2.36,3.79,3.84,2.88,3.25,3.13,0.55,1.32,1.29
2010Dec,2.50,3.79,3.51,2.84,3.41,3.13,0.51,1.22,1.19
2010Nov,2.35,3.81,3.43,2.72,3.32,3.07,0.51,1.19,1.16
2010Oct,2.24,3.71,3.42,2.61,3.22,3.01,0.50,1.22,1.18
2010Sep,2.19,3.68,3.60,2.56,3.16,2.94,0.47,1.15,1.11
2010Aug,2.18,3.66,3.58,2.68,3.30,2.94,0.46,1.03,1.01
2010Jul,2.13,3.53,3.44,2.62,3.11,2.88,0.46,1.09,1.06
2010Jun,2.03,3.51,3.37,2.67,3.15,2.84,0.44,0.92,0.89
2010May,-,-,-,-,-,2.75,0.43,0.81,0.77
2010Apr,-,-,-,-,-,2.76,0.43,0.82,0.78
2010Mar,-,-,-,-,-,2.75,0.44,0.84,0.79
2010Feb,-,-,-,-,-,2.77,0.44,0.77,0.73
2010Jan,-,-,-,-,-,2.78,0.45,0.76,0.72
2009Dec,-,-,-,-,-,2.85,0.47,0.82,0.77
2009Nov,-,-,-,-,-,2.93,0.48,0.74,0.70
2009Oct,-,-,-,-,-,2.89,0.49,0.71,0.66
2009Sep,-,-,-,-,-,2.87,0.52,0.74,0.69
2009Aug,-,-,-,-,-,2.98,0.54,0.75,0.71
2009Jul,-,-,-,-,-,3.07,0.57,0.87,0.82
2009Jun,-,-,-,-,-,3.26,0.63,1.07,1.04
2009May,-,-,-,-,-,3.27,0.73,1.11,1.08
2009Apr,-,-,-,-,-,3.33,0.76,1.18,1.15
2009Mar,-,-,-,-,-,3.62,0.93,1.40,1.37
2009Feb,-,-,-,-,-,3.88,1.10,1.65,1.61
2009Jan,-,-,-,-,-,4.25,1.26,2.28,2.25
2008Dec,-,-,-,-,-,4.92,1.61,2.89,2.87
2008Nov,-,-,-,-,-,5.47,1.98,3.54,3.53
2008Oct,-,-,-,-,-,6.01,2.20,4.26,4.26
2008Sep,-,-,-,-,-,6.03,2.20,4.52,4.52
2008Aug,-,-,-,-,-,5.89,2.17,4.46,4.46
2008Jul,-,-,-,-,-,5.89,2.14,4.47,4.46
2008Jun,-,-,-,-,-,5.80,2.06,4.36,4.35
2008May,-,-,-,-,-,5.72,2.08,4.26,4.26
2008Apr,-,-,-,-,-,5.71,2.06,4.27,4.27
2008Mar,-,-,-,-,-,5.62,2.03,4.20,4.20
2008Feb,-,-,-,-,-,5.52,2.02,4.07,4.07
2008Jan,-,-,-,-,-,5.60,2.02,4.14,4.13
2007Dec,-,-,-,-,-,5.73,1.95,4.27,4.26
2007Nov,-,-,-,-,-,5.57,2.02,4.11,4.11
2007Oct,-,-,-,-,-,5.58,1.97,4.08,4.07
2007Sep,-,-,-,-,-,5.63,1.91,4.14,4.14
2007Aug,-,-,-,-,-,5.45,1.89,4.08,4.08
2007Jul,-,-,-,-,-,5.34,1.82,4.02,4.02
2007Jun,-,-,-,-,-,5.30,1.78,3.94,3.94
2007May,-,-,-,-,-,5.17,1.78,3.75,3.75
2007Apr,-,-,-,-,-,5.15,1.75,3.74,3.74
2007Mar,-,-,-,-,-,5.10,1.71,3.67,3.67
2007Feb,-,-,-,-,-,4.99,1.64,3.49,3.49
2007Jan,-,-,-,-,-,4.91,1.61,3.50,3.49
2006Dec,-,-,-,-,-,4.89,1.52,3.50,3.48
2006Nov,-,-,-,-,-,4.79,1.49,3.27,3.26
2006Oct,-,-,-,-,-,4.70,1.46,3.20,3.19
2006Sep,-,-,-,-,-,4.55,1.36,3.00,2.99
2006Aug,-,-,-,-,-,4.50,1.32,2.93,2.92
2006Jul,-,-,-,-,-,4.40,1.24,2.79,2.78
2006Jun,-,-,-,-,-,4.29,1.23,2.71,2.70
2006May,-,-,-,-,-,4.19,1.18,2.59,2.59
2006Apr,-,-,-,-,-,4.14,1.16,2.53,2.52
2006Mar,-,-,-,-,-,4.08,1.15,2.49,2.48
2006Feb,-,-,-,-,-,3.95,1.08,2.33,2.31
2006Jan,-,-,-,-,-,3.88,1.05,2.28,2.27
2005Dec,-,-,-,-,-,3.83,1.02,2.27,2.25
2005Nov,-,-,-,-,-,3.77,1.00,2.09,2.08
2005Oct,-,-,-,-,-,3.67,0.97,2.06,2.04
2005Sep,-,-,-,-,-,3.66,0.97,2.05,2.04
2005Aug,-,-,-,-,-,3.67,0.97,2.03,2.03
2005Jul,-,-,-,-,-,3.66,0.94,2.03,2.02
2005Jun,-,-,-,-,-,3.66,0.94,2.03,2.01
2005May,-,-,-,-,-,3.71,0.95,2.02,2.01
2005Apr,-,-,-,-,-,3.75,0.95,2.02,2.01
2005Mar,-,-,-,-,-,3.79,0.94,2.01,2.00
2005Feb,-,-,-,-,-,3.80,0.94,2.01,2.00
2005Jan,-,-,-,-,-,3.81,0.94,2.05,2.04
2004Dec,-,-,-,-,-,3.78,0.91,2.10,2.08
2004Nov,-,-,-,-,-,3.80,0.90,2.08,2.04
