Data Source in SDW: https://sdw.ecb.europa.eu/browseExplanation.do?node=SEARCHRESULTS&q=LFSI.M.I8.S.UNEHRT.TOTAL0.15_74.T
,LFSI.M.I8.S.UNEHRT.TOTAL0.15_74.T
,"Euro area 19 (fixed composition) as of 1 January 2015; European Labour Force Survey; Unemployment rate; Total; Age 15 to 74; Total; Seasonally adjusted, not working day adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent ]
2021Jan,8.101594
2020Dec,8.112401
2020Nov,8.143354
2020Oct,8.383320
2020Sep,8.624730
2020Aug,8.671702
2020Jul,8.468300
2020Jun,7.990900
2020May,7.515845
2020Apr,7.291587
2020Mar,7.254401
2020Feb,7.265525
2020Jan,7.423397
2019Dec,7.377210
2019Nov,7.396677
2019Oct,7.378871
2019Sep,7.445723
2019Aug,7.455606
2019Jul,7.499597
2019Jun,7.488772
2019May,7.578630
2019Apr,7.657246
2019Mar,7.706724
2019Feb,7.774543
2019Jan,7.807626
2018Dec,7.829707
2018Nov,7.915967
2018Oct,8.004841
2018Sep,7.991240
2018Aug,8.025968
2018Jul,8.087840
2018Jun,8.192609
2018May,8.241895
2018Apr,8.385869
2018Mar,8.461517
2018Feb,8.527195
2018Jan,8.622770
2017Dec,8.664136
2017Nov,8.704280
2017Oct,8.777100
2017Sep,8.885304
2017Aug,8.971966
2017Jul,9.043109
2017Jun,9.053118
2017May,9.176358
2017Apr,9.227369
2017Mar,9.377900
2017Feb,9.434207
2017Jan,9.555957
2016Dec,9.645520
2016Nov,9.777979
2016Oct,9.774256
2016Sep,9.860240
2016Aug,9.882449
2016Jul,9.967831
2016Jun,10.096697
2016May,10.148410
2016Apr,10.217677
2016Mar,10.248237
2016Feb,10.354137
2016Jan,10.364418
2015Dec,10.465147
2015Nov,10.492348
2015Oct,10.606916
2015Sep,10.615230
2015Aug,10.662823
2015Jul,10.773411
2015Jun,10.983844
2015May,11.033500
2015Apr,11.095916
2015Mar,11.192498
2015Feb,11.204913
2015Jan,11.258818
2014Dec,11.356840
2014Nov,11.520226
2014Oct,11.511221
2014Sep,11.512038
2014Aug,11.467066
2014Jul,11.567579
2014Jun,11.526524
2014May,11.658802
2014Apr,11.702864
2014Mar,11.799253
2014Feb,11.877506
2014Jan,11.913097
2013Dec,11.882477
2013Nov,11.923012
2013Oct,11.951781
2013Sep,12.032080
2013Aug,12.014914
2013Jul,12.044686
2013Jun,12.050583
2013May,12.080628
2013Apr,12.099649
2013Mar,12.047881
2013Feb,12.050925
2013Jan,12.029154
2012Dec,11.877816
2012Nov,11.820323
2012Oct,11.734996
2012Sep,11.593224
2012Aug,11.514302
2012Jul,11.466344
2012Jun,11.399497
2012May,11.304252
2012Apr,11.213462
2012Mar,11.092821
2012Feb,10.912078
2012Jan,10.765281
2011Dec,10.727142
2011Nov,10.598161
2011Oct,10.461590
2011Sep,10.377797
2011Aug,10.241603
2011Jul,10.156779
2011Jun,10.051815
2011May,10.001435
2011Apr,9.954249
2011Mar,10.014590
2011Feb,10.028362
2011Jan,10.085274
2010Dec,10.126030
2010Nov,10.140179
2010Oct,10.194245
2010Sep,10.181513
2010Aug,10.195064
2010Jul,10.194915
2010Jun,10.256592
2010May,10.294874
2010Apr,10.303245
2010Mar,10.233491
2010Feb,10.219508
2010Jan,10.163376
2009Dec,10.136016
2009Nov,10.095039
2009Oct,10.066338
2009Sep,9.993583
2009Aug,9.880640
2009Jul,9.799061
2009Jun,9.694558
2009May,9.581346
2009Apr,9.475695
2009Mar,9.323820
2009Feb,9.013420
2009Jan,8.710183
2008Dec,8.310639
2008Nov,8.047664
2008Oct,7.809804
2008Sep,7.660302
2008Aug,7.574841
2008Jul,7.473682
2008Jun,7.466677
2008May,7.396257
2008Apr,7.352866
2008Mar,7.273824
2008Feb,7.307135
2008Jan,7.330294
2007Dec,7.332920
2007Nov,7.321528
2007Oct,7.345389
2007Sep,7.394773
2007Aug,7.464563
2007Jul,7.506087
2007Jun,7.456093
2007May,7.537402
2007Apr,7.566678
2007Mar,7.676109
2007Feb,7.764375
2007Jan,7.873307
2006Dec,7.923788
2006Nov,8.048603
2006Oct,8.117939
2006Sep,8.172897
2006Aug,8.248456
2006Jul,8.284714
2006Jun,8.362412
2006May,8.495273
2006Apr,8.575097
2006Mar,8.673992
2006Feb,8.756355
2006Jan,8.801692
2005Dec,8.899104
2005Nov,8.952914
2005Oct,9.014496
2005Sep,9.031952
2005Aug,9.020810
2005Jul,9.082497
2005Jun,9.173766
2005May,9.173246
2005Apr,9.245743
2005Mar,9.165501
2005Feb,9.170426
2005Jan,9.159717
2004Dec,9.205872
2004Nov,9.281031
2004Oct,9.262375
2004Sep,9.262144
2004Aug,9.233191
2004Jul,9.207612
2004Jun,9.211849
2004May,9.263228
2004Apr,9.275215
2004Mar,9.274855
2004Feb,9.237202
2004Jan,9.209168
2003Dec,9.142860
2003Nov,9.082829
2003Oct,9.078176
2003Sep,9.085638
2003Aug,9.064793
2003Jul,9.078645
2003Jun,9.093630
2003May,9.037298
2003Apr,9.019284
2003Mar,9.029611
2003Feb,8.987904
2003Jan,8.983023
2002Dec,8.931763
2002Nov,8.859195
2002Oct,8.804739
2002Sep,8.766553
2002Aug,8.722106
2002Jul,8.677067
2002Jun,8.603372
2002May,8.568152
2002Apr,8.537378
2002Mar,8.473614
2002Feb,8.502905
2002Jan,8.459089
2001Dec,8.470249
2001Nov,8.459313
2001Oct,8.422804
2001Sep,8.396267
2001Aug,8.370304
2001Jul,8.350686
2001Jun,8.357284
2001May,8.381971
2001Apr,8.362969
2001Mar,8.383344
2001Feb,8.425200
2001Jan,8.463763
2000Dec,8.569877
2000Nov,8.647798
2000Oct,8.713955
2000Sep,8.825951
2000Aug,8.882092
2000Jul,8.940774
2000Jun,8.990886
2000May,9.034967
2000Apr,9.092236
2000Mar,9.180364
2000Feb,9.275662
2000Jan,9.364810
1999Dec,9.467485
1999Nov,9.545435
1999Oct,9.590393
1999Sep,9.663533
1999Aug,9.717363
1999Jul,9.765453
1999Jun,9.831801
1999May,9.871419
1999Apr,9.920102
1999Mar,9.933608
1999Feb,9.990469
1999Jan,10.065884
1998Dec,10.201130
1998Nov,10.265037
1998Oct,10.315214
1998Sep,10.350101
1998Aug,10.412615
1998Jul,10.470519
1998Jun,10.547834
1998May,10.569062
1998Apr,10.611476
