date,y2 yield,y5 yield,y10 yield,inflation_rate,unemployment_rate,gdp_growth_rate,debt_rate_to_GDP,GAX_index,GAX_volume,eur_usd
Jan 03 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,6750.759765999999,43072500.0,1.0265
Jan 04 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,6586.950195,46678400.0,1.0312
Jan 05 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,6502.069824,52682800.0,1.0316
Jan 06 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,6474.919922,41180600.0,1.0324
Jan 07 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,6780.959961,56058900.0,1.0292
Jan 10 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,6925.52002,42006200.0,1.0257
Jan 11 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,6891.25,43890000.0,1.0335
Jan 12 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,6912.810059,34683100.0,1.0312
Jan 13 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,6955.97998,48116200.0,1.0254
Jan 14 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,7173.220215,47040900.0,1.0128
Jan 17 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,7258.899901999999,44872800.0,1.0118
Jan 18 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,7072.120117,46792700.0,1.0131
Jan 19 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,7091.040039,43646500.0,1.0122
Jan 20 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,7112.660156,46411600.0,1.0175
Jan 21 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,6992.75,47471900.0,1.0091
Jan 24 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,6931.990234000001,33473100.0,1.0078
Jan 25 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,6809.640137,44769800.0,1.0006
Jan 26 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,6969.370117,40597700.0,1.0012
Jan 27 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,7126.129883,43804300.0,0.9885
Jan 28 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,7066.600098000001,35825300.0,0.975
Jan 31 2000,4.38,5.1399,5.1399,1.9,9.36481,4.2,71.452,6835.600098000001,41254200.0,0.9695
Feb 01 2000,4.5451,5.2263,5.2263,1.9,9.275661999999999,4.2,71.452,7050.459961,48053900.0,0.9724
Feb 02 2000,4.5451,5.2263,5.2263,1.9,9.275661999999999,4.2,71.452,7171.950195,43122700.0,0.9765
