date,y2 yield,y5 yield,y10 yield,inflation_rate,unemployment_rate,gdp_growth_rate,debt_rate_to_GDP
2021Feb,-0.5694,-0.3532,-0.3532,0.9,,,
2021Jan,-0.5869,-0.4338,-0.4338,0.9,8.101594,,
2020Dec,-0.6284,-0.4689,-0.4689,-0.3,8.112401,-4.9,
2020Nov,-0.6074,-0.4383,-0.4383,-0.3,8.143353999999999,-4.9,
2020Oct,-0.5768,-0.3829,-0.3829,-0.3,8.38332,-4.9,
2020Sep,-0.496,-0.2653,-0.2653,-0.3,8.62473,-4.2,97.319
2020Aug,-0.4489,-0.212,-0.212,-0.2,8.671702,-4.2,97.319
2020Jul,-0.4235,-0.1499,-0.1499,0.4,8.4683,-4.2,97.319
2020Jun,-0.3573,-0.0353,-0.0353,0.3,7.9909,-14.6,95.038
2020May,-0.2406,0.1235,0.1235,0.1,7.515845,-14.6,95.038
2020Apr,-0.1282,0.2205,0.2205,0.3,7.291587,-14.6,95.038
2020Mar,-0.2973,0.0639,0.0639,0.7,7.254401,-3.3,86.222
2020Feb,-0.4852,-0.2377,-0.2377,1.2,7.265525,-3.3,86.222
2020Jan,-0.4293,-0.105,-0.105,1.4,7.423397,-3.3,86.222
2019Dec,-0.4323,-0.0752,-0.0752,1.3,7.377210000000002,1.0,84.012
2019Nov,-0.4196,-0.1085,-0.1085,1.0,7.396677,1.0,84.012
2019Oct,-0.4857,-0.2517,-0.2517,0.7,7.378871000000001,1.0,84.012
2019Sep,-0.5662,-0.3106,-0.3106,0.8,7.445722999999999,1.4,85.789
2019Aug,-0.5361,-0.2041,-0.2041,1.0,7.455605999999999,1.4,85.789
2019Jul,-0.4682,-0.0725,-0.0725,1.0,7.499597,1.4,85.789
2019Jun,-0.3387,0.1399,0.1399,1.3,7.488772,1.3,86.171
2019May,-0.2389,0.3134,0.3134,1.2,7.57863,1.3,86.171
2019Apr,-0.2232,0.3345,0.3345,1.7,7.6572460000000016,1.3,86.171
2019Mar,-0.2767,0.3394,0.3394,1.4,7.706724,1.6,86.326
2019Feb,-0.1985,0.4687,0.4687,1.5,7.774542999999999,1.6,86.326
2019Jan,-0.23399999999999999,0.4866,0.4866,1.4,7.807625999999999,1.6,86.326
2018Dec,-0.1952,0.6015,0.6015,1.5,7.829707000000001,1.2,85.756
2018Nov,-0.0439,0.8297,0.8297,1.9,7.915967,1.2,85.756
