date,m3 yield,m6 yield,y1 yield,y5 yield,y5 inflation indexed,y10 yield,y10 inflation indexed,m3 secondary,m6 secondary,spy,eur_usd
2003-12-01,0.95,1.06,1.41,3.46,1.42,4.40,2.08,0.93,1.04,76.1131820678711,1.19650137424469
2003-12-02,0.94,1.04,1.38,3.43,1.38,4.38,2.05,0.92,1.02,75.92220306396484,1.2088974714279175
2003-12-03,0.94,1.04,1.39,3.46,1.40,4.41,2.08,0.92,1.02,75.80196380615234,1.2122975587844849
2003-12-04,0.93,1.04,1.38,3.42,1.35,4.38,2.04,0.91,1.02,76.1131820678711,1.2080942392349243
2003-12-05,0.92,1.01,1.30,3.23,1.20,4.23,1.92,0.90,0.99,75.5826644897461,1.2186946868896484
2003-12-08,0.93,1.03,1.33,3.28,1.22,4.29,1.96,0.91,1.01,76.09196472167969,1.2220009565353394
2003-12-09,0.93,1.04,1.35,3.33,1.24,4.32,2.00,0.91,1.02,75.50483703613281,1.2249947786331177
2003-12-10,0.93,1.03,1.33,3.28,1.19,4.30,1.97,0.91,1.01,75.4977798461914,1.2190959453582764
2003-12-11,0.90,0.99,1.27,3.21,1.10,4.27,1.90,0.88,0.97,76.34659576416016,1.2224042415618896
2003-12-12,0.91,0.99,1.28,3.23,1.13,4.26,1.91,0.89,0.97,76.49515533447266,1.2278977632522583
2003-12-15,0.90,1.01,1.30,3.26,1.18,4.28,1.98,0.89,0.99,76.1131820678711,1.2319974899291992
2003-12-16,0.91,1.00,1.28,3.21,1.19,4.24,1.99,0.89,0.98,76.5093002319336,1.2321947813034058
2003-12-17,0.90,0.99,1.26,3.18,1.18,4.19,1.96,0.88,0.97,76.74981689453125,1.2402024269104004
2003-12-18,0.89,0.96,1.24,3.17,1.20,4.16,1.94,0.87,0.94,77.61280822753906,1.2422977685928345
2003-12-19,0.88,0.96,1.25,3.16,1.18,4.15,1.95,0.86,0.94,77.39674377441406,1.2384973764419556
2003-12-22,0.90,0.99,1.27,3.19,1.21,4.18,1.98,0.89,0.97,77.9368896484375,1.2398948669433594
2003-12-23,0.90,1.00,1.31,3.30,1.26,4.28,2.03,0.88,0.98,77.98666381835938,1.2400025129318237
2003-12-24,0.90,1.00,1.28,3.20,1.19,4.20,1.96,0.88,0.98,77.90848541259766,1.245298981666565
2003-12-25,,,,,,,,,,,1.2448029518127441
2003-12-26,0.87,0.99,1.27,3.17,1.16,4.17,1.94,0.85,0.97,77.96529388427734,1.243193507194519
2003-12-29,0.90,1.03,1.31,3.23,1.21,4.24,1.99,0.89,1.01,79.00296020507812,1.2483927011489868
2003-12-30,0.94,1.02,1.28,3.26,1.23,4.29,2.01,0.92,1.00,79.0171890258789,1.2548940181732178
2003-12-31,0.95,1.02,1.26,3.25,1.22,4.27,2.00,0.93,1.00,79.08828735351562,1.2590018510818481
2004-01-01,,,,,,,,,,,1.2581939697265625
2004-01-02,0.93,1.02,1.31,3.36,1.28,4.38,2.06,0.91,1.00,79.05270385742188,1.2581939697265625
2004-01-05,0.91,1.05,1.35,3.39,1.30,4.41,2.06,0.90,1.03,79.9126968383789,1.2686975002288818
2004-01-06,0.91,1.03,1.30,3.26,1.21,4.29,1.97,0.90,1.01,79.9908676147461,1.2721028327941895
2004-01-07,0.91,1.02,1.29,3.25,1.20,4.27,1.94,0.89,1.00,80.26094055175781,1.2640947103500366
2004-01-08,0.88,1.01,1.29,3.24,1.25,4.27,1.99,0.86,0.99,80.58074188232422,1.2774981260299683
2004-01-09,0.87,0.97,1.21,3.05,1.12,4.11,1.89,0.85,0.95,79.87715911865234,1.2858924865722656
2004-01-12,0.89,0.98,1.21,3.04,1.11,4.11,1.89,0.88,0.96,80.467041015625,1.2740962505340576
2004-01-13,0.89,0.97,1.18,2.98,1.03,4.05,1.83,0.87,0.95,79.9979476928711,1.278592586517334
2004-01-14,0.88,0.96,1.19,2.96,1.05,4.01,1.85,0.86,0.94,80.6660385131836,1.2651021480560303
2004-01-15,0.88,0.96,1.18,2.97,1.01,3.99,1.82,0.86,0.94,80.86504364013672,1.260096549987793
2004-01-16,0.89,0.97,1.21,3.03,1.02,4.04,1.83,0.87,0.95,81.18485260009766,1.239802598953247
2004-01-19,,,,,,,,,,,1.235406756401062
2004-01-20,0.89,0.98,1.21,3.05,1.01,4.08,1.84,0.88,0.96,81.1635513305664,1.2589067220687866
2004-01-21,0.89,0.96,1.19,3.02,0.96,4.05,1.79,0.87,0.94,81.80315399169922,1.2659028768539429
2004-01-22,0.88,0.96,1.19,2.96,0.94,3.99,1.76,0.86,0.94,81.58995056152344,1.2725075483322144
2004-01-23,0.90,0.96,1.21,3.06,1.01,4.09,1.82,0.88,0.94,81.3270263671875,1.2583048343658447
2004-01-26,0.90,0.99,1.23,3.13,1.07,4.16,1.89,0.89,0.97,82.35042572021484,1.2487980127334595
2004-01-27,0.91,0.98,1.21,3.07,0.98,4.11,1.84,0.89,0.96,81.50466918945312,1.2636953592300415
2004-01-28,0.94,1.00,1.26,3.22,1.09,4.22,1.92,0.92,0.98,80.57364654541016,1.2441989183425903
2004-01-29,0.94,1.02,1.29,3.22,1.07,4.22,1.91,0.92,1.00,80.65181732177734,1.2410026788711548
2004-01-30,0.92,1.01,1.28,3.17,1.01,4.16,1.85,0.90,0.99,80.65181732177734,1.2468050718307495
2004-02-02,0.94,1.03,1.29,3.18,0.96,4.18,1.84,0.93,1.01,81.00006866455078,1.2433016300201416
2004-02-03,0.94,1.02,1.27,3.12,0.93,4.13,1.81,0.92,1.00,80.86504364013672,1.2534940242767334
2004-02-04,0.94,1.01,1.27,3.15,0.95,4.15,1.82,0.92,0.99,80.20408630371094,1.2539970874786377
2004-02-05,0.94,1.02,1.29,3.21,0.99,4.20,1.85,0.92,1.00,80.43861389160156,1.2571974992752075
2004-02-06,0.93,1.01,1.26,3.12,0.95,4.12,1.79,0.91,0.99,81.34122467041016,1.2700024843215942
2004-02-09,0.94,1.02,1.25,3.08,0.92,4.09,1.76,0.93,1.00,81.36254119873047,1.2694060802459717
2004-02-10,0.95,1.02,1.27,3.13,0.96,4.13,1.79,0.93,1.00,81.62550354003906,1.26850426197052
2004-02-11,0.93,1.00,1.23,3.03,0.88,4.05,1.75,0.91,0.98,82.49256896972656,1.2830052375793457
2004-02-12,0.93,1.00,1.24,3.07,0.90,4.10,1.77,0.91,0.98,82.19408416748047,1.2818048000335693
2004-02-13,0.92,0.98,1.21,3.01,0.85,4.05,1.74,0.90,0.96,81.82447814941406,1.272799015045166
2004-02-16,,,,,,,,,,,1.2765034437179565
2004-02-17,0.95,1.00,1.21,3.02,0.84,4.05,1.75,0.93,0.98,82.56366729736328,1.2857933044433594
2004-02-18,0.94,1.00,1.23,3.03,0.84,4.05,1.75,0.92,0.98,82.20117950439453,1.2725075483322144
2004-02-19,0.94,1.00,1.23,3.02,0.82,4.05,1.76,0.92,0.98,81.8956069946289,1.2757054567337036
2004-02-20,0.94,1.01,1.26,3.08,0.84,4.10,1.79,0.92,0.99,81.64682006835938,1.2542015314102173
2004-02-23,0.97,1.02,1.22,3.03,0.80,4.05,1.76,0.95,1.00,81.44072723388672,1.2571974992752075
2004-02-24,0.97,1.02,1.23,3.01,0.78,4.04,1.74,0.95,1.00,81.29856872558594,1.2677966356277466
2004-02-25,0.96,1.02,1.23,2.98,0.74,4.02,1.71,0.94,1.00,81.63972473144531,1.249703288078308
2004-02-26,0.96,1.02,1.23,3.01,0.72,4.05,1.69,0.94,1.00,81.68949127197266,1.2448029518127441
2004-02-27,0.96,1.01,1.21,3.01,0.63,3.99,1.61,0.94,0.99,81.74633026123047,1.2494065761566162
2004-03-01,0.97,1.02,1.23,2.98,0.58,4.00,1.55,0.95,1.00,82.5565414428711,1.2448029518127441
2004-03-02,0.97,1.03,1.26,3.04,0.62,4.05,1.58,0.95,1.01,82.07324981689453,1.220405101776123
2004-03-03,0.97,1.02,1.26,3.06,0.64,4.07,1.59,0.95,1.00,82.22247314453125,1.2190959453582764
2004-03-04,0.96,1.02,1.25,3.02,0.67,4.04,1.60,0.94,1.00,82.43569946289062,1.220703125
2004-03-05,0.94,0.99,1.16,2.81,0.53,3.85,1.46,0.93,0.97,82.7128677368164,1.2367972135543823
