"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","Q","1995-Q3",0.858554907,
"OECD","QGDP","TOT","PC_CHGPP","Q","1995-Q4",0.561446685,
"OECD","QGDP","TOT","PC_CHGPP","Q","1996-Q1",0.702954342,
"OECD","QGDP","TOT","PC_CHGPP","Q","1996-Q2",1.174296557,
"OECD","QGDP","TOT","PC_CHGPP","Q","1996-Q3",0.739362028,
"OECD","QGDP","TOT","PC_CHGPP","Q","1996-Q4",0.965813681,
"OECD","QGDP","TOT","PC_CHGPP","Q","1997-Q1",0.622140942,
"OECD","QGDP","TOT","PC_CHGPP","Q","1997-Q2",1.277123904,
"OECD","QGDP","TOT","PC_CHGPP","Q","1997-Q3",0.907535451,
"OECD","QGDP","TOT","PC_CHGPP","Q","1997-Q4",0.930973992,
"OECD","QGDP","TOT","PC_CHGPP","Q","1998-Q1",0.439432687,
"OECD","QGDP","TOT","PC_CHGPP","Q","1998-Q2",0.481051318,
"OECD","QGDP","TOT","PC_CHGPP","Q","1998-Q3",0.713721232,
"OECD","QGDP","TOT","PC_CHGPP","Q","1998-Q4",0.835963042,
"OECD","QGDP","TOT","PC_CHGPP","Q","1999-Q1",0.659240572,
"OECD","QGDP","TOT","PC_CHGPP","Q","1999-Q2",0.711127111,
"OECD","QGDP","TOT","PC_CHGPP","Q","1999-Q3",1.164155677,
"OECD","QGDP","TOT","PC_CHGPP","Q","1999-Q4",1.355269264,
"OECD","QGDP","TOT","PC_CHGPP","Q","2000-Q1",0.99174223,
"OECD","QGDP","TOT","PC_CHGPP","Q","2000-Q2",1.253447251,
"OECD","QGDP","TOT","PC_CHGPP","Q","2000-Q3",0.472456129,
"OECD","QGDP","TOT","PC_CHGPP","Q","2000-Q4",0.597511372,
"OECD","QGDP","TOT","PC_CHGPP","Q","2001-Q1",0.282124406,
"OECD","QGDP","TOT","PC_CHGPP","Q","2001-Q2",0.147749379,
"OECD","QGDP","TOT","PC_CHGPP","Q","2001-Q3",-0.071874329,
"OECD","QGDP","TOT","PC_CHGPP","Q","2001-Q4",0.199167415,
"OECD","QGDP","TOT","PC_CHGPP","Q","2002-Q1",0.555004705,
"OECD","QGDP","TOT","PC_CHGPP","Q","2002-Q2",0.78692426,
"OECD","QGDP","TOT","PC_CHGPP","Q","2002-Q3",0.523166083,
"OECD","QGDP","TOT","PC_CHGPP","Q","2002-Q4",0.330938795,
"OECD","QGDP","TOT","PC_CHGPP","Q","2003-Q1",0.211559446,
"OECD","QGDP","TOT","PC_CHGPP","Q","2003-Q2",0.519173091,
"OECD","QGDP","TOT","PC_CHGPP","Q","2003-Q3",1.074231586,
"OECD","QGDP","TOT","PC_CHGPP","Q","2003-Q4",1.073559877,
"OECD","QGDP","TOT","PC_CHGPP","Q","2004-Q1",0.748216187,
"OECD","QGDP","TOT","PC_CHGPP","Q","2004-Q2",0.68743757,
"OECD","QGDP","TOT","PC_CHGPP","Q","2004-Q3",0.608236985,
"OECD","QGDP","TOT","PC_CHGPP","Q","2004-Q4",0.665413293,
"OECD","QGDP","TOT","PC_CHGPP","Q","2005-Q1",0.766083465,
"OECD","QGDP","TOT","PC_CHGPP","Q","2005-Q2",0.665969668,
"OECD","QGDP","TOT","PC_CHGPP","Q","2005-Q3",0.953459632,
